entity,job_number,customer,contractor,start_date,end_date,status,actual_gross_margin_percent_to_date,percent_complete,actual_costs_to_date,revenue_to_date,months_since_start,report_date,poor_perf_flag,cost_to_complete,prediction
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0875,0.5715,7142800.0,7827431.0,19.0,2022-10-31,0,5356621.0,1.5158143897121951E7
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0855,0.6175,7754493.0,8479239.0,20.0,2022-11-30,0,4804006.0,6708535.946501472
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.081,0.6762,8536854.0,9289731.0,21.0,2022-12-31,0,4087245.0,9671719.227292048
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0733,0.7195,9158746.0,9883456.0,22.0,2023-01-31,0,3571386.0,9612208.839931002
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0679,0.7541,9658744.0,1.0361957E7,23.0,2023-02-28,0,3149364.0,9436482.969264794
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0679,0.7808,1.0000449E7,1.0728541E7,24.0,2023-03-31,0,2807659.0,1008933.7570447632
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0679,0.8009,1.0257543E7,1.1004381E7,25.0,2023-04-30,0,2550087.0,1238598.2739037178
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.067,0.816,1.0458053E7,1.120878E7,26.0,2023-05-31,0,2357724.0,1238598.2739037178
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0646,0.8488,1.0905935E7,1.1658634E7,27.0,2023-06-30,0,1943016.0,1271847.2000340254
ColonialWebb,24908,Dla Aviation Ops Ph Ii Dscr,Manhattan Construction,2021-03-15,2023-09-17,Open,0.0426,0.8614,1.1327228E7,1.1831831E7,28.0,2023-07-31,0,1822723.0,1112896.5182498782
